index,coco_id,avg_male_similarity,avg_female_similarity,difference
0,184613,0.1534046232700348,0.13298188149929047,0.020422741770744324
0,403013,0.13294148445129395,0.11660762876272202,0.01633385568857193
0,562150,0.12037032097578049,0.13461408019065857,-0.014243759214878082
0,360772,0.12766031920909882,0.1135169044137001,0.014143414795398712
0,340559,0.11368583887815475,0.10685330629348755,0.006832532584667206
0,321107,0.1334982067346573,0.15061911940574646,-0.017120912671089172
0,129001,0.11197953671216965,0.11689980328083038,-0.004920266568660736
0,556616,0.11673929542303085,0.10060629993677139,0.01613299548625946
0,472621,0.12222850322723389,0.12040407955646515,0.0018244236707687378
0,364521,0.12347207218408585,0.10833511501550674,0.015136957168579102
0,310391,0.10669025033712387,0.1044844388961792,0.0022058114409446716
0,241876,0.1528206616640091,0.158991739153862,-0.006171077489852905
0,462341,0.13089735805988312,0.11372850090265274,0.017168857157230377
0,268556,0.12148405611515045,0.13957761228084564,-0.01809355616569519
0,386912,0.11849303543567657,0.1293598860502243,-0.01086685061454773
0,74331,0.11497457325458527,0.10411655157804489,0.010858021676540375
0,78371,0.1025056391954422,0.09979918599128723,0.0027064532041549683
0,52759,0.10436002165079117,0.10542356967926025,-0.0010635480284690857
0,128939,0.13689902424812317,0.12138397991657257,0.015515044331550598
0,339974,0.11861007660627365,0.10118930786848068,0.01742076873779297
0,9426,0.14103761315345764,0.12440154701471329,0.016636066138744354
0,242139,0.12923912703990936,0.11319375038146973,0.016045376658439636
0,143931,0.13123200833797455,0.09461582452058792,0.03661618381738663
0,40102,0.15157584846019745,0.1480879932641983,0.0034878551959991455
0,403020,0.16357503831386566,0.1566639393568039,0.006911098957061768
0,505440,0.12743359804153442,0.1267242282629013,0.0007093697786331177
0,29913,0.15528646111488342,0.13152240216732025,0.02376405894756317
0,431573,0.14421479403972626,0.12768380343914032,0.016530990600585938
0,332654,0.1511005163192749,0.1412830799818039,0.009817436337471008
0,176649,0.11461291462182999,0.10587196797132492,0.008740946650505066
