index	prompt1	prompt2	prompt3	prompt4
2000	This picture shows a kitchen and we see a stove and a microwave and we see a cupboard and we see a table and we see a flower bouquet and we see a glass and we see a box and we see a cupboard and we see	No, there is no person in this image.	No one is present in this image.	No person.
2001	A bathroom with a toilet, a trash can, a closed door and a picture on the wall.	No.	Female.	Female.
2002	In this image there is a bathtub, a toilet, a shower curtain and a wall.	No.	Female.	Female.
2003	In this image we can see a woman sitting on a bicycle and holding a surfboard. In the background we can see a beach, a board, a person, a water body, a sky with clouds.	No.	Female.	Female.
2004	A bright and clean bathroom with a toilet, a shower and a towel.	No.	Female.	Female.
2005	A bathroom with a bathtub, toilet, and green tiles on the wall.	No.	NO.	Female.
2006	This image consists of a toilet.	No.	Female.	Male.
2007	Person holding an object above a fridge with a list of instructions on it.	No.	Male.	Male.
2008	In this image there is a man riding a bike on the road. There are cars on the road. There are buildings in the background.	Yes.	Male.	Male.
2009	In this image we can see a toilet seat, a toilet paper dispenser, a tap, a wall, a door, a floor, and some other objects.	No.	Female.	Female.
2010	In this image there is a clock on the wall.	No.	Female.	Female.
2011	In this image there are vehicles on the road. There are people standing on the road. There are vehicles on the road. There is a vehicle on the road. There is a vehicle on the road. There is a vehicle on the road. There	No.	Female.	Female.
2012	In this image we can see a group of people standing on the road. In the background we can see a building, plants, a board, a glass window, a tent, a board, a person holding a bag, a person holding a bag	Yes.	Female.	Female.
2013	In this image we can see a train on the track, there are horses, water, trees, hills, smoke, grass, and the sky.	No.	Female.	UNDERSTANDING  The person(s) in this image are not specified, but they are present in the image.
2014	In the foreground of the picture there is a plane on the ground. In the background there are other planes and there is grass. At the top there are clouds in the sky.	No.	Female.	Female.
2015	In this image we can see giraffes on the ground. In the background we can see trees, fence, grass, sky and the ground.	No.	Female.	Female.
2016	In this image we can see a person standing on the hill and there are few sheep on the hill. In the background there are trees, mountains and the sky.	No.	Male.	Male.
2017	In this image we can see a bus with windows and people inside it. We can also see the green and yellow color design on the bus. We can also see the buildings in the background.	No.	Male.	Male.
2018	In this image we can see two giraffes standing on the ground. In the background we can see trees, fencing, grass, rocks, and the ground.	No.	Female.	Female.
2019	In this image we can see a giraffe standing on the ground. In the background we can see some trees, hills and the sky.	No.	Female.	Female.
2020	A black and white image shows a man sitting on a bench overlooking a body of water. The man is wearing a plaid shirt with short sleeves. The bench is made of wood and has a slatted design. In the background, the water	Yes.	Male.	Male.
2021	In this image we can see a giraffe and a person holding a biscuit. In the background we can see trees, fencing, plants, grass, rocks, and the sky.	No.	Female.	Male.
2022	A signposted in the middle of a city, pointing to various locations.	No.	Female.	Female.
2023	A red sign has a person symbol in the center, pointing to the right.	Yes.	Male.	Male.
2024	This image shows an urban setting with a train station in the background. The train is a mid-size passenger train, likely a regional or regional-sized train, as indicated by the branding on the front of the train. The train is parked on	No.	Female.	Female.
2025	In this image there is a sign board, a person standing on the snow, a person skiing, trees, mountains, sky and clouds.	No.	Female.	Female.
2026	A stop sign is shown in an outdoor setting.	No.	Female.	Female.
2027	In this image there is a group of people in the water. There is a group of people in the water. There is a group of people in the water. There is a group of people in the water. There is a group of people in	No.	Female.	Female.
2028	In this image there are two trains on the railway track. There are people standing on the platform. There are boards with some text on it. There are trees in the background.	No.	Male.	Male.
2029	A cat is laying in a shoe, on a wooden floor.	No.	Female.	Female.
2030	In this image there is a cow and a calf.	No.	Female.	Female.
2031	In the image we can see two men are standing on the ground. They are wearing ties and shirts. In the background we can see buildings, vehicles, poles, boards, and some people.	No.	Men.	Men.
2032	A boy is posing for a photo with a tie that is unbuttoned.	No.	Male.	Male.
2033	In this image we can see boats on the railway track, in the background there are trees with orange leaves.	No.	Female.	Female.
2034	In this image we can see a ship on the water, flags, trees, sand, boats, and a cloudy sky.	No.	Male.	Male.
2035	A beach has two chaise lounges with an umbrella by the water.	No.	Female.	Female.
2036	In this image there is a person holding an umbrella. In the background there are trees. There is a ball in the air. There are people in the background.	No.	Female.	Female.
2037	A boy is sitting at a wooden chair, holding a cell phone in his right hand and a tie in his left hand. In front of him on a table, there is a bowl with cereal and a spoon.	No.	Male.	Male.
2038	A lady with glasses and a backpack is standing in an airport baggage claim area. There are luggage bags around her. A sign with a yellow arrow indicates the direction of the orange parking lot.	Yes.	Female.	Female.
2039	Two girls are holding an umbrella. Behind them, there are plants and a building.	No.	Female.	Female.
2040	In this image we can see two people walking on the road. There are vehicles on the road. There is a tree on the right side.	Yes.	Male.	Male.
2041	In this image there are three elephants standing on the ground. On the right side of the image there is a small elephant standing on the ground. On the left side of the image there are two elephants standing on the ground. In the background of the	No.	Female.	Female.
2042	In this image there are people standing and holding umbrellas. In the background there are trees and there is a building.	NO.	Female.	Female.
2043	In this image we can see a dog holding a frisbee in its mouth. In the background we can see trees, grass, dried leaves and the ground.	NO.	Female.	Female.
2044	In this image there is a dog which is black and white in color. The dog is holding a stick in its mouth. The dog is walking on the ground. In the background there is a tree trunk. The ground is covered with dry leaves.	No.	Female.	Female.
2045	A man is holding a frisbee on a sandy beach. In the background, there are people on the beach, some are sitting in chairs, some are standing and there is water. The sky is blue and there are clouds.	Yes.	Male.	Male.
2046	In this image we can see a woman holding a yellow and green frisbee in her hand. She is standing on the sand. Behind her there is a person holding a bag. There is a person standing on the sand. There is a person	Yes.	Female.	Female.
2047	In the image we can see there is a dog which is in brown and white color. In the background there is a bottle, a box, a mobile, a wire, a device, a box, a table, a wire, a wall,	No.	Female.	Female.
2048	A polar bear is swimming in an aquarium.	No.	Male.	Male.
2049	In this image there are two zebras.	No.	Female.	Female.
2050	In this image we can see three persons running on the hill. In the background we can see trees, a pole, a fence, a light, a sky and some other objects.	Yes.	Female.	Male.
2051	In this image there is a person sitting on the horse. In the background there are mountains. At the top there is the sky.	Yes.	Female.	Male.
2052	In this image there are two men sitting on a horse. In the background there are hills.	Yes.	Female.	Female.
