index	prompt1	prompt2	prompt3	prompt4
1000	In this image we can see a kitchen with various objects in it.	No.	Female.	Female.
1001	In this image there is a table and a chair on the floor. There are chairs and a table. There is a microwave on the table. There is a stove on the table. There are cupboards on the wall.	No.	Female.	Female.
1002	This is the inside view of a mobile home. In this picture we can see a refrigerator, a bed, a window, a door and some objects.	No.	Female.	Female.
1003	In the image we can see a red refrigerator and a fan.	No.	Male.	Male.
1004	In this image there is a wall with some text on it. There is a door.	No.	Female.	Female.
1005	In this image we can see a teddy bear sitting on the ground. In the background we can see a door, a wall, some objects and a few other objects.	No.	Female.	Female.
1006	A man is eating a sandwich on a white tablet.	No.	Male.	Male.
1007	In this image there are four women sitting on chairs around a table. On the table there are bowls, plates, glasses, bottles, food items and a bottle. In the background there are windows and a building.	Yes.	Female.	Female.
1008	A woman is sitting at a table with food and drinks.	Yes.	Female.	Female.
1009	This is a kitchen. In this kitchen there is a refrigerator, stove and a table.	No.	Female.	Female.
1010	A woman is sitting at a table in a kitchen. On the table is a cup, saucer, and a glass. Behind her is a refrigerator with a calendar on it. To the left of the woman is a refrigerator with a calendar on it	Yes.	Female.	Female.
1011	A small round table is in the foreground of a kitchen. There are four chairs around the table. In the background, there is a girl sitting on a chair. There is a refrigerator on the right side. There are bottles and jars on the shelves	No.	Female.	Female.
1012	In this image we can see a kitchen with white color cabinets, counter, a microwave, a sink, a refrigerator, a stove, a bowl, a basket, a table, a chair, a flower vase, a window, a staircase, a	No.	Female.	Female.
1013	There is a bathroom in the image.	No.	Female.	Female.
1014	In this image there are a few people riding bicycles on the road. There are a few vehicles on the road. There are a few people on the road. There are a few trees on the road. There are a few buildings on the road.	No.	Male.	Male.
1015	In this image there is a car in front of the vehicle which is in grey and white color. Behind the car there is a bus which is in white and blue color. In the background there are trees, buildings, poles, wires and the sky	No.	Female.	Female.
1016	In the image we can see there is a bus, there are cars, there are people, there are buildings, there are poles, there are boards, there are traffic signals, there are poles, there are wires, there are buildings, there are	Yes.	Male.	Male.
1017	In this image we can see a bench, a table, a door, a pipe and some objects on the ground.	No.	Female.	Female.
1018	A person is wearing blue wig and sunglasses and holding a toothbrush.	No.	Female.	Female.
1019	In this image there are books on the table.	No.	Female.	Female.
1020	In this image there are people walking on the road. There are vehicles on the road. There are light poles. There are boards with text. There are boards with text. There are boards with text. There are boards with text. There are boards	Yes.	Female.	Police.
1021	This image is taken in a restaurant. In the foreground of the image there are chairs and tables. In the background of the image there are wine bottles and glasses on the table. There are lights on the ceiling.	No.	Female.	Female.
1022	In this image we can see a few people sitting on a bike and there are some objects on the bike. There are buildings, trees, poles, boards, lights, and some objects in the background.	No.	Female.	Female.
1023	In the image we can see there is a bus and a car on the road. There are trees and plants in the background. There is a pole and a light on the top of the image.	No.	Female.	Male.
1024	In this image I can see a group of people standing on the road. I can see a pole, a building, a sign board, a table, a chair, a box and a few other objects. I can see the sky in the background	No.	Male.	Male.
1025	In this image we can see a woman sitting on a bench and holding a stick in her hand. In the background we can see a bench, a board, a pole, some birds, some trees, some people, some grass, some plants,	Yes.	Female.	Female.
1026	In this image we can see a giraffe. In the background of the image there is a wooden wall.	No.	Female.	Female.
1027	In this image we can see a vehicle which is yellow and green in color. There is a person standing near the vehicle. There are some other vehicles and poles in the background. There are some trees and buildings in the background.	No.	Female.	Male.
1028	In the image we can see there are sheep and there are few black and white color sheep. In the background there is a wooden fence and there are few other sheep and there is a green grass.	No.	Female.	Female.
1029	In this image we can see buses on the road, there are trees, buildings, poles, lights, boards, traffic signals, vehicles, grass, plants, trees, boards, poles, a flag, a building, a street light, a fence	No.	Female.	Female.
1030	In this image we can see a bus on the road. We can also see some vehicles on the road. We can also see some text on the bus. We can also see some trees and the sky.	No.	Male.	Female.
1031	In this image we can see a bus with some stickers on it. In the background we can see a few vehicles, trees, buildings, boards, and the sky.	Yes.	Handicap.	Handicap.
1032	In this image we can see a hydrant and a building.	No.	Female.	Female.
1033	In this image we can see a bus, a car, a pole, a sign board, a tree, a building, some plants, a pole, a traffic signal, a road, some objects on the road, some text on the bus,	No.	Male.	Male.
1034	In the image there are three chickens standing on the grass and beside them there is a red fire hydrant.	No.	Female.	Female.
1035	In this image we can see a train on the road. In the background of the image there is a building, trees, a person and a pole.	No.	Female.	Female.
1036	On a street, there is a fire hydrant.	No.	Female.	Female.
1037	In this image I can see the ground, few plants and few trees. In the background I can see the trees and the sky.	No.	Female.	Female.
1038	In this image there are two vehicles on the road. There are two persons standing on the road. There are two persons standing on the road. There is a building in the background. There is a tree in the background. There is a board on	Yes.	Male.	Male.
1039	In the foreground of the image there is a pole. On the pole there is a blue color signboard. In the background there is a sky with clouds.	No.	Female.	Female.
1040	In this image we can see a bird on the branch of a tree. The background of the image is blurred.	No.	Female.	Female.
1041	A train is on a track with a signal and a sign with "No Exit" on it.	No.	Female.	Female.
1042	In the image there is an orange cat wearing a blue baseball cap.	No.	Female.	Female.
1043	In the image we can see a cat is sitting on the carpet.	No.	Female.	Female.
1044	A dog wears a Christmas hat.	NO.	Female.	Female.
1045	In this image we can see a train on the railway track, there are people walking on the path, there are trees, plants, flowers, and a train.	No.	Male.	Male.
1046	Green street sign with the name "lincoln ave" and logo of olivia.	No.	Female.	Female.
1047	In the center of the image we can see one train car and one other train car. In the background, we can see some trees and poles.	No.	Female.	Female.
