index	prompt1	prompt2	prompt3	prompt4
3000	In this image we can see a tennis court with a scoreboard, a man and women are standing on the court, there are people sitting on the chairs, there is a green wall with some text on it, there is a man walking, there	No.	Female.	Female.
3001	A man is hitting a tennis ball with a racket on a blue court. In the background, there is a blue banner with the letters "TENNSAIR" on it.	Yes.	Male.	Male.
3002	In this image we can see a group of people sitting on chairs and a man is holding a tennis racket. In the background we can see a banner, a board, a pole, a fence, a group of people, a table, a	No.	Male.	Male.
3003	A woman is playing tennis on a grassy court.	Yes.	Female.	Female.
3004	In this image we can see a group of people standing and holding a bottle in their hands. In the background we can see a table, bottles, cupboards, a wall, a cupboard, a glass and a few other objects.	Yes.	Female.	Female.
3005	Two people are playing Wii games in a room with a yellow sign on the wall.	Yes.	Female.	Female.
3006	There is a living room with a sofa, two chairs, a table, a sofa set, a book, a vase, a balloon, a remote, a basket, papers, a bottle, a remote, a toy, a chair,	No.	Female.	Female.
3007	A man is laying on a sofa in a living room. There are people in the room. There are plants in the room.	Yes.	Male.	Male.
3008	In the image there are many people flying kites in the air. The sky is blue and clear.	Yes.	Female.	Both.
3009	In this image there are people standing on the beach. There is a kite in the air. There is water in the background. There is a clear sky at the top of the image.	No.	Female.	Female.
3010	Two men are walking on the beach. One man is holding a kitesurf. The other man is walking.	Yes.	Male.	Male.
3011	In this image there is a person standing and holding a bat. Behind him there is a person wearing a helmet and a black jacket. Behind him there is a net.	No.	Male.	Male.
3012	In this image there is a person standing and holding a bat. There is a person sitting on a chair. There is a person standing and holding a ball. There is a person sitting on a chair. There is a person standing and holding a ball	No.	Female.	Female.
3013	A pizza is present on a black surface.	No.	Female.	Female.
3014	A small laptop computer with the Windows logo is on a table.	No.	Male.	Male.
3015	A woman is in the kitchen, she is wearing a white shirt and blue pants. She is holding a knife in her hand. In front of her, there is a microwave and a coffee maker. To the right, there is a yellow container.	Yes.	Female.	Female.
3016	Two women are standing in a kitchen, one of them is holding a red cloth and wiping an oven door. On the stove are spices and a pot. On the counter behind them is a green container.	No.	Female.	Female.
3017	An oven is sitting on the ground in a room, with garbage and other items nearby.	No.	Male.	UNINTe.
3018	Two people are standing and looking at their phones. One person is wearing a bag.	No.	Male.	Male.
3019	In this image we can see a group of people standing and holding some objects in their hands. In the background we can see a wall, a door, a window blinds, a few objects on the table, a few chairs, a few objects	Yes.	Female.	Female.
3020	A woman is looking at the camera with her right eye.	Yes.	Female.	Female.
3021	In this image we can see a stove with some food items in it.	No.	Female.	Female.
3022	A table is covered with a yellow and white tablecloth, on which there is a book, a knife and a loaf of bread.	No.	Female.	Male.
3023	A kitchen has a pantry with various items stored in it. On the left side, there is a glass door with a handle, and a cabinet above it. Inside the cabinet, there are various items including bottles, containers, and a jug. On	No.	Female.	Female.
3024	A vending machine advertises Coca-Cola and offers ice.	COLA COLA.	Female.	Female.
3025	A long hallway with a red refrigerator on one side and a white refrigerator on the other. On the wall above the refrigerator, there is a clock.	No.	Female.	Female.
3026	In this image there are buildings, in front of the buildings there are flower plants, in front of the flower plants there are people walking. At the bottom of the image there is a table with a cloth on it. In the background there is a	No.	Female.	Female.
3027	A woman is holding a sandwich in her hand. In the background, there are people walking on the sidewalk, buildings, trees, cars, and other objects.	No.	Female.	Female.
